Name,Pos
DaQuan Jeffries,SG
Kyle Guy,SG
Jabari Parker,PF
Anfernee Simons,SG
CJ McCollum,SG
Hassan Whiteside,C
Damian Lillard,PG
Gary Trent Jr.,SG
Carmelo Anthony,PF
Nassir Little,PF
Mario Hezonja,PF
Rodney Hood,SF
Trevor Ariza,SF
Caleb Swanigan,PF
Wenyen Gabriel,PF
Jaylen Hoard,SF
Moses Brown,C
Zach Collins,PF
Jusuf Nurkić,C
Josh Hart,SF
Jaxson Hayes,C
Brandon Ingram,PF
Lonzo Ball,PG
Jrue Holiday,SG
J.J. Redick,SG
Nicolò Melli,C
E'Twaun Moore,SG
Frank Jackson,PG
Derrick Favors,C
Nickeil Alexander-Walker,SG
Kenrich Williams,PF
Jahlil Okafor,C
Zion Williamson,PF
Zylan Cheatham,SF
Josh Gray,PG
Darius Miller,F
Patty Mills,PG
Bryn Forbes,SG
Trey Lyles,PF
DeMar DeRozan,SF
Derrick White,SG
Rudy Gay,PF
Jakob Pöltl,C
Dejounte Murray,PG
Lonnie Walker,SG
LaMarcus Aldridge,C
Marco Belinelli,SG
Chimezie Metu,PF
Drew Eubanks,PF
Keldon Johnson,SF
Quinndary Weatherspoon,SG
Luka Šamanić,PF
Mikal Bridges,SF
Devin Booker,SG
Kelly Oubre Jr.,SF
Dario Šarić,PF
Ricky Rubio,PG
Elie Okobo,PG
Cameron Johnson,PF
Jevon Carter,PG
Cheick Diallo,C
Aron Baynes,C
Frank Kaminsky,C
Deandre Ayton,C
Ty Jerome,PG
Jalen Lecque,PG
Tariq Owens,PF
Jared Harper,PG
Jarrett Culver,SG
Josh Okogie,SG
Karl-Anthony Towns,C
Kelan Martin,SF
Naz Reid,C
Jordan McLaughlin,PG
Jake Layman,PF
Jaylen Nowell,SG
Malik Beasley,SG
Juan Hernangómez,PF
James Johnson,PF
D'Angelo Russell,PG
Jarred Vanderbilt,PF
Jacob Evans,SG
Evan Turner,G
Omari Spellman,F
Eric Paschall,PF
Marquese Chriss,PF
Jordan Poole,SG
Damion Lee,SG
Ky Bowman,PG
Draymond Green,PF
Kevon Looney,C
Alen Smailagić,PF
Juan Toscano-Anderson,SF
Andrew Wiggins,SG
Dragan Bender,SF
Mychal Mulder,SG
Stephen Curry,PG
Chasson Randle,PG
Klay Thompson,G-F
