Player,Date,FDP,FDSal,FDP_1
Drew Eubanks,2019-03-15,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-16,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-18,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-20,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-22,-0.3982231232496248,3500.0,0.6926579648389962
Drew Eubanks,2019-03-24,0.6926579648389962,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-26,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-28,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-03-31,-0.3982231232496248,3500.0,-0.3982231232496248
Drew Eubanks,2019-04-02,-0.3982231232496248,3500.0,2.175137392241481
